PREDATOR,PREY,source,pred_lifestage,prey_lifestage,area,ref,notes,Quality,yref,nref
Gadus morhua,Enchelyopus cimbrius,Dapstom,NA,NA,Irish Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,9
Gadus morhua,Engraulis encrasicolus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,6
Gadus morhua,Eutrigla gurnardus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,8
Gadus morhua,Gadus morhua,Diet,NA,NA,North Sea,"Daan, N. (1973). A quantitative analysis of the food intake of North Sea cod, Gadus morhua. Netherlands Journal of Sea Research, 6(4), 479-517.",NA,1,1973,9
Gadus morhua,Hippoglossoides platessoides,Diet,NA,NA,North Sea,"Daly, H. I. et al. (2001). Cephalopod consumption by trawl caught fish in Scottish and English Channel waters. Fisheries Research, 52(1-2), 51–64.",NA,1,2001,6
Gadus morhua,Hippolyte varians,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Gadus morhua,Hyperoplus lanceolatus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,5
Gadus morhua,Limanda limanda,Diet,NA,NA,North Sea,"Daan, N. (1973). A quantitative analysis of the food intake of North Sea cod, Gadus morhua. Netherlands Journal of Sea Research, 6(4), 479-517.",NA,1,1973,9
Gadus morhua,Liocarcinus depurator,Diet,NA,NA,North Sea,"Daan, N. (1973). A quantitative analysis of the food intake of North Sea cod, Gadus morhua. Netherlands Journal of Sea Research, 6(4), 479-517.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in our species list",4,1973,2
Gadus morhua,Liocarcinus holsatus,GlobiDataBase,NA,NA,North Sea,"Cooperative Research Report No. 164; Cooperative Research Report No. 219, ICES Stomach Dataset Impl, ICES",NA,4,1900,5
Gadus morhua,Loligo vulgaris,Dapstom,NA,NA,Celtic Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Gadus morhua,Merlangius merlangus,Diet,NA,NA,North Sea,"Daan, N. (1973). A quantitative analysis of the food intake of North Sea cod, Gadus morhua. Netherlands Journal of Sea Research, 6(4), 479-517.",NA,1,1973,10
Gadus morhua,Microstomus kitt,Diet,NA,NA,North Sea,"Daly, H. I. et al. (2001). Cephalopod consumption by trawl caught fish in Scottish and English Channel waters. Fisheries Research, 52(1-2), 51–64.",NA,1,2001,9
Gadus morhua,Myoxocephalus scorpius,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,14
Gadus morhua,Ophiura albida,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,16
Gadus morhua,Pagurus bernhardus,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,7
Gadus morhua,Pandalina brevirostris,Dapstom,NA,NA,Celtic Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,8
Gadus morhua,Philocheras bispinosus bispinosus,Diet,NA,NA,North Sea,"Petersen, C. J. (1911). Valuation of the sea. I. Animal life of the sea-bottom, its food and quantity. Rep. Dan. Biol. Sta., 20, 3–81.","Feeds on several species that belongs or belonged to genus ""Crangon"", not included in our species list",4,1911,2
Gadus morhua,Platichthys flesus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,5
Gadus morhua,Pleuronectes platessa,Diet,NA,juveniles,Atlantic Ocean,"Edwards, R., & Steele, J. H. (1968). The ecology of 0-group plaice and common dabs at Loch Ewe I. Population and food. Journal of Experimental Marine Biology and Ecology, 2(3), 215-238.",NA,1,1968,11
Gadus morhua,Pomatoschistus minutus,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,13
Gadus morhua,Processa modica modica,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,Inferred from genus Processa,4,2012,1
Gadus morhua,Processa nouveli holthuisi,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,Inferred from genus Processa,4,2012,1
Gadus morhua,Scomber scombrus,Diet,NA,NA,North Sea,"Daan, N. (1973). A quantitative analysis of the food intake of North Sea cod, Gadus morhua. Netherlands Journal of Sea Research, 6(4), 479-517.",NA,1,1973,8
Gadus morhua,Scophthalmus maximus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,4
Gadus morhua,Scophthalmus rhombus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,7
Gadus morhua,Solea solea,Diet,NA,NA,North Sea,"Daan, N. (1973). A quantitative analysis of the food intake of North Sea cod, Gadus morhua. Netherlands Journal of Sea Research, 6(4), 479-517.",NA,1,1973,9
Gadus morhua,Sprattus sprattus,Diet,NA,NA,North Sea,"Daan, N. (1973). A quantitative analysis of the food intake of North Sea cod, Gadus morhua. Netherlands Journal of Sea Research, 6(4), 479-517.",NA,1,1973,13
Gadus morhua,Trachurus trachurus,Diet,NA,NA,North Sea,"Daly, H. I. et al. (2001). Cephalopod consumption by trawl caught fish in Scottish and English Channel waters. Fisheries Research, 52(1-2), 51–64.",NA,1,2001,10
Gadus morhua,Turritella communis,Dapstom,NA,NA,Celtic Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,11
Gadus morhua,Zooplankton,Diet,juveniles,NA,Barents Sea,"Burgos, G., & Mehl, S. (1987). Diet overlap between North-East Arctic cod and haddock in the southern part of the Barents Sea in 1984-1986.",[1] From different region / [2] Q4,4,1987,3
Hippoglossoides platessoides,Agonus cataphractus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,Inferred from genus Agonus,4,2012,5
Hippoglossoides platessoides,Alosa fallax,Diet,NA,NA,Atlantic Ocean,"Tyler, A. V. (1972). Food resource division among northern, marine, demersal fishes. Journal of the Fisheries Board of Canada, 29(7), 997-1003.","Feeds on several species that belongs or belonged to genus ""Clupea""",4,1972,3
Hippoglossoides platessoides,Amphiura filiformis,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Hippoglossoides platessoides,Aphrodita aculeata,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,3
Hippoglossoides platessoides,Asterias rubens,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,3
Hippoglossoides platessoides,Callionymus lyra,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,6
Hippoglossoides platessoides,Clupea harengus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,15
Hippoglossoides platessoides,Corystes cassivelaunus,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,2
Hippoglossoides platessoides,Crangon allmanni,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,6
Hippoglossoides platessoides,Crangon crangon,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,3
Hippoglossoides platessoides,Echinocardium cordatum,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Hippoglossoides platessoides,Enchelyopus cimbrius,GlobiDataBase,NA,NA,North Sea,"Cooperative Research Report No. 164; Cooperative Research Report No. 219, ICES Stomach Dataset Impl, ICES",NA,4,1900,2
Hippoglossoides platessoides,Engraulis encrasicolus,Diet,NA,NA,Atlantic Ocean,"Tyler, A. V. (1972). Food resource division among northern, marine, demersal fishes. Journal of the Fisheries Board of Canada, 29(7), 997-1003.","Feeds on several species that belongs or belonged to genus ""Clupea""",4,1972,1
Hippoglossoides platessoides,Eutrigla gurnardus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,4
Hippoglossoides platessoides,Gadus morhua,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,9
Hippoglossoides platessoides,Hippoglossoides platessoides,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,8
Hippoglossoides platessoides,Limanda limanda,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Hippoglossoides platessoides,Liocarcinus holsatus,GlobiDataBase,NA,NA,NA,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",NA,4,2014,1
Hippoglossoides platessoides,Merlangius merlangus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,6
Hippoglossoides platessoides,Microstomus kitt,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,2
Hippoglossoides platessoides,Ophiura albida,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,8
Hippoglossoides platessoides,Pagurus bernhardus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,6
Hippoglossoides platessoides,Pomatoschistus minutus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,4
Hippoglossoides platessoides,Sprattus sprattus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,5
Hippoglossoides platessoides,Turritella communis,Dapstom,NA,NA,Celtic Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Hippoglossoides platessoides,Zooplankton,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,4,2018,1
Hippolyte varians,Zooplankton,Diet,NA,NA,NA,"Smaldon, G., Holthuis, L. B., & Fransen, C. H. J. M. (1993). Coastal Shrimps and Prawns. Synopses of the British Fauna 15. Field Studies Council, Shrewsbury.",,3,1993,1
Hyperoplus lanceolatus,Clupea harengus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,8
Hyperoplus lanceolatus,Hyperoplus lanceolatus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,4
Hyperoplus lanceolatus,Merlangius merlangus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,6
Hyperoplus lanceolatus,Phytoplankton,Diet,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",0,1,2014,1
Hyperoplus lanceolatus,Sprattus sprattus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,4
Hyperoplus lanceolatus,Zooplankton,Diet,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",0,4,2014,2
Limanda limanda,Amphiura filiformis,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,7
Limanda limanda,Aphrodita aculeata,Diet,NA,NA,Irish Sea,"Jones, N. S. (1952). The bottom fauna and the food of flatfish off the Cumberland coast. The Journal of Animal Ecology, 182-205.",NA,1,1952,5
Limanda limanda,Asterias rubens,Diet,NA,NA,North Sea,"Braber, L., & De Groot, S. J. (1973). The food of five flatfish species (Pleuronectiformes) in the southern North Sea. Netherlands Journal of Sea Research, 6(1-2), 163-172.",NA,1,1973,10
Limanda limanda,Buglossidium luteum,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.",NA,1,2012,3
Limanda limanda,Callionymus lyra,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,2
Limanda limanda,Clupea harengus,Dapstom,NA,NA,Irish Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,9
Limanda limanda,Corystes cassivelaunus,Diet,NA,NA,Irish Sea,"Jones, N. S. (1952). The bottom fauna and the food of flatfish off the Cumberland coast. The Journal of Animal Ecology, 182-205.",NA,1,1952,3
Limanda limanda,Crangon allmanni,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,14
Limanda limanda,Crangon crangon,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,12
Limanda limanda,Echinocardium cordatum,Diet,NA,NA,Irish Sea,"Jones, N. S. (1952). The bottom fauna and the food of flatfish off the Cumberland coast. The Journal of Animal Ecology, 182-205.",NA,1,1952,9
Limanda limanda,Euspira nitida,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.",NA,1,2012,1
Limanda limanda,Hippolyte varians,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,2
Limanda limanda,Hyperoplus lanceolatus,Diet,juveniles,juveniles,English Channel,"Lebour, M. V. (1920). The food of young fish no. III (1919). Journal of the Marine Biological Association of the United Kingdom, 12(2), 261-324.","Feeds on several species that belongs or belonged to genus ""Ammodytes""",4,1920,3
Limanda limanda,Limanda limanda,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Limanda limanda,Liocarcinus depurator,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,6
Limanda limanda,Liocarcinus holsatus,Diet,NA,NA,North Sea,"Braber, L., & De Groot, S. J. (1973). The food of five flatfish species (Pleuronectiformes) in the southern North Sea. Netherlands Journal of Sea Research, 6(1-2), 163-172.",NA,1,1973,6
Limanda limanda,Macroalgae,Diet,juveniles,NA,Irish Sea,"Macer, C. T. (1967). The food web in Red Wharf Bay (North Wales) with particular reference to young plaice (Pleuronectes platessa). Helgoländer Wissenschaftliche Meeresuntersuchungen, 15(1), 560.",Weed,1,1967,1
Limanda limanda,Ophiura albida,Diet,NA,NA,Norwegian Sea,"Nordgaard, O. (1909). Beretning om forsøk med utklækning av guldflyndre (Pleuronectes platessa, LIN.) ved Trondhjems biologiske station i aarene 1908 og 1909. Det Kongelige Norske Videnskabers Selskabs Skrifter.",NA,1,1909,9
Limanda limanda,Pagurus bernhardus,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,7
Limanda limanda,Pandalina brevirostris,Diet,juveniles,NA,Atlantic Ocean,"Poxton, M. G., Eleftheriou, A., & McIntyre, A. D. (1983). The food and growth of 0-group flatfish on nursery grounds in the Clyde Sea area. Estuarine, Coastal and Shelf Science, 17(3), 319-337.","Feeds on several species that belongs or belonged to genus ""Pandalus""",4,1983,1
Limanda limanda,Philocheras bispinosus bispinosus,Diet,juveniles,NA,English Channel,"Lebour, M. V. (1920). The food of young fish no. III (1919). Journal of the Marine Biological Association of the United Kingdom, 12(2), 261-324.","Feeds on several species that belongs or belonged to genus ""Crangon""",4,1920,5
Limanda limanda,Platichthys flesus,Dapstom,NA,NA,Irish Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,2
Limanda limanda,Pomatoschistus minutus,Dapstom,NA,NA,Irish Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Limanda limanda,Processa modica modica,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Processa"" ",4,2012,1
Limanda limanda,Processa nouveli holthuisi,Diet,NA,NA,North Sea,"Schückel, S., Sell, A. F., Kröncke, I., & Reiss, H. (2012). Diet overlap among flatfish species in the southern North Sea. Journal of Fish Biology, 80(7), 2571-2594.","Feeds on several species that belongs or belonged to genus ""Processa"" ",4,2012,1
Limanda limanda,Sprattus sprattus,Dapstom,NA,NA,Irish Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,2
Limanda limanda,Turritella communis,Diet,NA,NA,Irish Sea,"Jones, N. S. (1952). The bottom fauna and the food of flatfish off the Cumberland coast. The Journal of Animal Ecology, 182-205.",NA,1,1952,6
Liocarcinus depurator,Amphiura filiformis,Diet,NA,NA,North Atlantic,"Freire, J. et al. (1991). Diel feeding pattern of Liocarcinus Depurator(Brachyura: Portunidae) in the Ria De Arousa (Galicia, NW Spain). - Ophelia 33: 165–177.",NA,4,1991,1
Liocarcinus depurator,Detritus,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,3
Liocarcinus depurator,Liocarcinus depurator,Diet,NA,NA,Mediterranean Sea,"Abelló, P. and Cartes, J. (1987). Observations on the diet of Liocarcinus depurator (L.) (Brachyura: Portunidae) in the Catalan Sea. - Investigacion Pesquera (Spain) 51: 413–419.",[1] From different region / [2] Q1,4,1987,1
Liocarcinus depurator,Loligo vulgaris,Diet,NA,NA,Mediterranean Sea,"Abelló, P. and Cartes, J. (1987). Observations on the diet of Liocarcinus depurator (L.) (Brachyura: Portunidae) in the Catalan Sea. - Investigacion Pesquera (Spain) 51: 413–419.",[1] From different region / [2] Q1,4,1987,2
Liocarcinus holsatus,Crangon allmanni,Diet,NA,NA,North Atlantic,"Choy, S. C. (1986). Natural diet and feeding habits of the crabs Liocarcinus puber and L. holsatus (Decapoda, Brachyura, Portunidae). - Mar. Ecol. Prog. Ser.: 87–99.",Inferred from genus Crangon,4,1986,3
Liocarcinus holsatus,Crangon crangon,Diet,NA,NA,North Atlantic,"Choy, S. C. (1986). Natural diet and feeding habits of the crabs Liocarcinus puber and L. holsatus (Decapoda, Brachyura, Portunidae). - Mar. Ecol. Prog. Ser.: 87–99.",Inferred from genus Crangon,4,1986,2
Liocarcinus holsatus,Detritus,Diet,NA,NA,North Atlantic,"Warner, G. F. (2009). On the ecology of a dense bed of the brittle-star Ophiothrix fragilis. Journal of the Marine Biological Association of the United Kingdom, 51(02), 267–282.",NA,4,2009,1
Loligo vulgaris,Clupea harengus,GlobiDataBase,NA,NA,NA,"Piatkowski, U. (2006). Loligo vulgaris. European squid. Life history species review. CEPHSTOCK: Cephalopod Stocks in European Waters. Review, Analysis, Assessment and Sustainable Management. 25 p.",NA,4,2006,1
Loligo vulgaris,Engraulis encrasicolus,SeaLifeBase,adults,adults,NA,"Palomares, M.L.D. and D. Pauly. Editors. (2018). SeaLifeBase. World Wide Web electronic publication. www.sealifebase.org, version (02/2018).",NA,2,2018,3
Loligo vulgaris,Hyperoplus lanceolatus,SeaLifeBase,adults,adults,NA,"Palomares, M.L.D. and D. Pauly. Editors. (2018). SeaLifeBase. World Wide Web electronic publication. www.sealifebase.org, version (02/2018).",NA,2,2018,2
Loligo vulgaris,Loligo vulgaris,SeaLifeBase,adults,adults,NA,"Palomares, M.L.D. and D. Pauly. Editors. (2018). SeaLifeBase. World Wide Web electronic publication. www.sealifebase.org, version (02/2018).",NA,2,2018,3
Loligo vulgaris,Scomber scombrus,SeaLifeBase,adults,adults,NA,"Palomares, M.L.D. and D. Pauly. Editors. (2018). SeaLifeBase. World Wide Web electronic publication. www.sealifebase.org, version (02/2018).",NA,2,2018,3
Loligo vulgaris,Sprattus sprattus,GlobiDataBase,NA,NA,NA,"Guerra, A., & Rocha, F. (1994). The life history of Loligo vulgaris and Loligo forbesi (Cephalopoda: Loliginidae) in Galician waters (NW Spain). Fisheries research, 21(1-2), 43-69.",NA,4,1994,2
Loligo vulgaris,Trachurus trachurus,SeaLifeBase,adults,adults,NA,"Palomares, M.L.D. and D. Pauly. Editors. (2018). SeaLifeBase. World Wide Web electronic publication. www.sealifebase.org, version (02/2018).",NA,2,2018,3
Merlangius merlangus,Agonus cataphractus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,4
Merlangius merlangus,Alosa fallax,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.","Feeds on several species that belongs or belonged to genus ""Clupea""",4,1940,5
Merlangius merlangus,Amphiura filiformis,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,3
Merlangius merlangus,Aphrodita aculeata,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,5
Merlangius merlangus,Arnoglossus laterna,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,10
Merlangius merlangus,Buglossidium luteum,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,9
Merlangius merlangus,Callionymus lyra,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,11
Merlangius merlangus,Clupea harengus,Diet,juveniles,NA,Irish Sea,"Nagabhushanam, A. K. (1964). On the biology of the whiting, Gadus merlangus, in Manx waters. Journal of the Marine Biological Association of the United Kingdom, 44(1), 177-202.",NA,1,1964,18
Merlangius merlangus,Corystes cassivelaunus,Dapstom,NA,NA,Celtic Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Merlangius merlangus,Crangon allmanni,Diet,juveniles,NA,Irish Sea,"Nagabhushanam, A. K. (1964). On the biology of the whiting, Gadus merlangus, in Manx waters. Journal of the Marine Biological Association of the United Kingdom, 44(1), 177-202.",NA,1,1964,14
Merlangius merlangus,Crangon crangon,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,11
